date,volume,high,low,adj_close,close,open
2020-01-31,111502,12.42,12.22,12.285,12.285,12.38
2020-01-30,55150,12.47,12.32,12.45,12.45,12.32
2020-01-29,139385,12.615,12.41,12.43,12.43,12.56
2020-01-28,254358,12.75,12.25,12.58,12.58,12.58
2020-01-27,87347,12.7,12.45,12.57,12.57,12.46
2020-01-24,239180,13,12.65,12.69,12.69,13
2020-01-23,186985,13.06,12.31,12.91,12.91,12.61
2020-01-22,82378,13.24,12.96,13.19,13.19,13.06
2020-01-21,159481,13.33,12.94,13.05,13.05,13
2020-01-17,661991,13.22,12.94,13.22,13.22,13
2020-01-16,81020,13,12.69,12.98,12.98,12.69
2020-01-15,94635,12.88,12.5,12.61,12.61,12.81
2020-01-14,42497,12.95,12.86,12.88,12.88,12.93
2020-01-13,114467,12.98,12.82,12.98,12.98,12.88
2020-01-10,50411,12.97,12.8,12.89,12.89,12.9
2020-01-09,68775,13.19,12.92,12.945,12.945,13.19
2020-01-08,44745,13.16,12.99,13.14,13.14,13.02
2020-01-07,53885,13.1,12.96,13.05,13.05,13.1
2020-01-06,118211,13.28,13.04,13.16,13.16,13.26
2020-01-03,42979,13.39,13.2834,13.33,13.33,13.33
2020-01-02,109626,13.53,13.4,13.49,13.49,13.51
